perturbation,e_distance,e_pval,n_cells,n_technical_replicates,viability_ratio,note,e_qval,viability_flag,target_fc,on_target_ok,gate_sig,gate_viable,passes_gates
FOS_1,29.790131432931048,0.0009990009990009,90,6,1.8367346938400668,,0.0039960039960039,False,3.012839613108832,,True,True,True
PTPN6_2,27.47620611711517,0.0009990009990009,66,6,1.3469387754827156,,0.0039960039960039,False,,,True,True,True
PTPN11_2,26.671673147964555,0.0009990009990009,82,6,1.6734693877209497,,0.0039960039960039,False,,,True,True,True
BACH2_3,24.625682971065828,0.0009990009990009,71,6,1.4489795918071635,,0.0039960039960039,False,1.5325269884078363,,True,True,True
ZAP70_3,22.25980487219266,0.0009990009990009,48,6,0.9795918367147024,,0.0039960039960039,False,,,True,True,True
EGR1_1,21.931745315371245,0.0009990009990009,54,6,1.10204081630404,,0.0039960039960039,False,2.569464522651702,,True,True,True
LAT_2,18.424887755101963,0.0009990009990009,50,6,1.0204081632444817,,0.0039960039960039,False,,,True,True,True
NFATC1_3,17.356472776041812,0.0009990009990009,87,6,1.7755102040453978,,0.0039960039960039,False,,,True,True,True
RELA_3,16.808813141192843,0.0009990009990009,72,6,1.469387755072053,,0.0039960039960039,False,,,True,True,True
EGR2_2,16.027419860508815,0.0009990009990009,69,6,1.4081632652773846,,0.0039960039960039,False,,,True,True,True
NFATC3_2,15.081849576565332,0.0039960039960039,49,6,0.999999999979592,,0.0097045811331525,False,,,True,True,True
DOK2_2,14.693118038635504,0.0029970029970029,52,6,1.0612244897742609,,0.0088607045128784,False,,,True,True,True
FOS_3,14.672630006904342,0.0009990009990009,74,6,1.5102040816018327,,0.0039960039960039,False,0.449573943418071,,True,True,True
ZAP70_2,14.482424197384091,0.0009990009990009,58,6,1.1836734693635986,,0.0039960039960039,False,,,True,True,True
EGR4_1,13.858939878402223,0.0229770229770229,32,6,0.6530612244764682,,0.039060939060939,False,,,True,True,True
EGR1_2,13.795383685978663,0.0019980019980019,95,6,1.938775510164515,,0.0067932067932067,False,2.2595289188386025,,True,True,True
LAT_1,13.678733031674229,0.0039960039960039,52,6,1.0612244897742609,,0.0097045811331525,False,,,True,True,True
NR4A1_1,13.252016175788585,0.0059940059940059,56,6,1.1428571428338192,,0.0127372627372627,False,0.1867775654726701,,True,True,True
NFKB2_2,13.248647768953902,0.0219780219780219,39,6,0.7959183673306957,,0.038320653705269,False,,,True,True,True
NFKB2_1,13.194740206616132,0.0059940059940059,53,6,1.0816326530391505,,0.0127372627372627,False,,,True,True,True
JUN_3,12.986268692401325,0.0019980019980019,72,6,1.469387755072053,,0.0067932067932067,False,0.9071561180419496,,True,True,True
NFATC1_1,12.649909513449302,0.0009990009990009,80,6,1.6326530611911705,,0.0039960039960039,False,,,True,True,True
NFKB1_1,12.545283108193416,0.0009990009990009,89,6,1.8163265305751772,,0.0039960039960039,False,,,True,True,True
JUN_2,12.29608519683211,0.0029970029970029,54,6,1.10204081630404,,0.0088607045128784,False,2.3694791018413595,,True,True,True
NFKB1_2,12.085312882241736,0.0019980019980019,69,6,1.4081632652773846,,0.0067932067932067,False,,,True,True,True
EGR4_2,11.756790837905813,0.0009990009990009,81,6,1.65306122445606,,0.0039960039960039,False,,,True,True,True
NFKB1_3,11.55215433300873,0.0049950049950049,79,6,1.612244897926281,,0.0117124255055289,False,,,True,True,True
RELB_1,11.202757712373057,0.0059940059940059,78,6,1.5918367346613913,,0.0127372627372627,False,,,True,True,True
NFATC1_2,11.182263990428224,0.0029970029970029,89,6,1.8163265305751772,,0.0088607045128784,False,,,True,True,True
NFATC3_1,11.155491419457178,0.0129870129870129,62,6,1.2653061224231572,,0.0252319109461966,False,,,True,True,True
RELB_3,11.078927163890512,0.0289710289710289,41,6,0.8367346938604748,,0.0480495114641456,False,,,True,True,True
RELB_2,11.067722701149364,0.0179820179820179,30,6,0.6122448979466889,,0.033048033048033,False,,,True,True,True
NR4A1_3,10.91414826990109,0.0069930069930069,71,6,1.4489795918071635,,0.0144098325916507,False,2.025002963996358,,True,True,True
JUND_3,10.493811893720078,0.0039960039960039,67,6,1.3673469387476052,,0.0097045811331525,False,,,True,True,True
REL_2,10.334342560553637,0.0009990009990009,102,6,2.081632653018742,,0.0039960039960039,False,0.7203090243048926,,True,True,True
DOK2_1,10.141739921150304,0.0039960039960039,74,6,1.5102040816018327,,0.0097045811331525,False,,,True,True,True
NFAT5_3,10.058237929318013,0.0169830169830169,42,6,0.8571428571253645,,0.032079032079032,False,,,True,True,True
BACH2_2,9.604410088344252,0.0009990009990009,88,6,1.7959183673102874,,0.0039960039960039,False,1.4254566711426258,,True,True,True
NFAT5_2,8.497224847721071,0.0189810189810189,46,6,0.938775510184923,,0.0339660339660339,False,,,True,True,True
JUNB_1,8.489578718354437,0.0039960039960039,80,6,1.6326530611911705,,0.0097045811331525,False,,,True,True,True
EGR1_3,7.345063963963952,0.0099900099900099,75,6,1.5306122448667223,,0.0199800199800199,False,1.8935859364164709,,True,True,True
ETS1_1,14.058148064451302,0.0329670329670329,33,6,0.6734693877413578,,0.0521339125990288,False,,,False,True,False
NFKB2_3,8.827572434172623,0.0369630369630369,44,6,0.8979591836551437,,0.0571246934883298,False,,,False,True,False
NFATC2_3,8.572299072721421,0.0609390609390609,37,5,0.7551020408009164,,0.0812520812520812,False,,,False,True,False
BACH2_1,8.275918273645516,0.0319680319680319,55,6,1.1224489795689296,,0.0517577660434803,False,1.9357853995990468,,False,True,False
