perturbation,direction_score,direction_sign_agreement,direction_n_donors,direction_per_donor
ARID3B,-0.09764920991611453,False,2,0.0799;-0.2752
TYK2,-0.0976450147424508,False,2,0.0279;-0.2232
DOT1L,-0.09764333872619368,True,2,-0.0789;-0.1164
RAB11FIP5,-0.09758794341210691,True,2,-0.0698;-0.1254
DAZAP1,-0.0975739051789708,False,2,-0.1976;0.0025
ATP2B4,-0.09756925227909413,True,2,-0.0827;-0.1124
TCEAL2,-0.0974968369802634,True,2,-0.0015;-0.1935
PRKCD,-0.09749344019572842,True,2,-0.0600;-0.1350
ZNF540,-0.09740825725002483,True,2,-0.0624;-0.1324
LOXL1,-0.09738451251999458,True,2,-0.1466;-0.0481
MAPRE3,-0.09738383605524614,False,2,-0.2139;0.0191
ADORA2B,-0.09737380062414908,True,2,-0.1602;-0.0345
AASDH,-0.09735589707914832,True,2,-0.0179;-0.1768
ILK,-0.09735375401052793,False,2,-0.2560;0.0613
TCF7L2,-0.09720817153252287,True,2,-0.1658;-0.0286
NAPG,-0.09719970546359458,False,2,-0.2019;0.0075
PPIL1,-0.09712071505748804,True,2,-0.0554;-0.1389
FBXL17,-0.09710628769781321,True,2,-0.0569;-0.1373
PALLD,-0.09709893619834586,True,2,-0.1842;-0.0100
GCFC2,-0.09708800740851853,True,2,-0.1174;-0.0767
ARRDC2,-0.0970832182787697,False,2,0.0008;-0.1950
GFOD1,-0.0970601070772748,True,2,-0.1019;-0.0922
SPINK2,-0.09704295006520108,True,2,-0.0373;-0.1568
PRDM5,-0.09699390613498532,True,2,-0.0897;-0.1042
GALNT2,-0.09698937485406184,True,2,-0.0745;-0.1195
FUT4,-0.09698426896880397,False,2,-0.2298;0.0358
ECE1,-0.09697119669890203,True,2,-0.0324;-0.1615
PRH1,-0.09684393707169547,True,2,-0.1666;-0.0271
SRI,-0.0968317463753155,True,2,-0.0621;-0.1315
TTC7B,-0.09680102648985167,True,2,-0.0669;-0.1267
LRRC56,-0.0967869762018384,True,2,-0.1549;-0.0387
EDARADD,-0.096773346810206,True,2,-0.0887;-0.1048
ASF1B,-0.09676528342325724,True,2,-0.0410;-0.1525
ZNF668,-0.09676467419706902,True,2,-0.0313;-0.1623
MAFG,-0.09675885965780967,True,2,-0.0169;-0.1767
LMBRD2,-0.09675665353925811,True,2,-0.1805;-0.0130
THOC7,-0.09673502694000374,False,2,0.1257;-0.3192
NPC2,-0.09665274252124745,True,2,-0.1360;-0.0573
LTA,-0.09657571568503154,True,2,-0.0964;-0.0967
GTF2A2,-0.09654276695687214,True,2,-0.1389;-0.0542
OARD1,-0.09652588632072562,True,2,-0.0861;-0.1070
ZC3HAV1,-0.09647051875571921,False,2,-0.1963;0.0034
ISG15,-0.09646296442643099,True,2,-0.0859;-0.1071
TMEM173,-0.09645358125664094,False,2,-0.2311;0.0382
GNG5,-0.09643639714558894,False,2,-0.2150;0.0222
MEOX1,-0.09643084169669913,True,2,-0.0549;-0.1379
DPEP2,-0.0964209582977435,True,2,-0.0580;-0.1348
LAMA2,-0.09641455302814911,True,2,-0.1087;-0.0842
DPCD,-0.09640634507019274,True,2,-0.0962;-0.0966
AGA,-0.09634680937305651,True,2,-0.1029;-0.0898
TNF,-0.09634480207400181,True,2,-0.1051;-0.0876
CNTROB,-0.09634030856773418,True,2,-0.1192;-0.0735
GFM1,-0.0962923649226895,True,2,-0.0551;-0.1375
ELP5,-0.0962803818758941,True,2,-0.0445;-0.1481
FAIM,-0.09626050217814358,True,2,-0.0558;-0.1367
ZNF831,-0.09626005113040709,True,2,-0.1248;-0.0677
DBNDD1,-0.09624104947399537,True,2,-0.0151;-0.1773
SYTL1,-0.09621361266631678,True,2,-0.0894;-0.1031
PREPL,-0.0961612740222999,True,2,-0.0592;-0.1331
CYTH3,-0.09614501064627712,False,2,0.0039;-0.1962
TPK1,-0.09614043185644411,True,2,-0.1106;-0.0817
TRAF5,-0.09612220226157986,False,2,-0.2128;0.0206
SLC29A2,-0.09611388787758851,True,2,-0.1049;-0.0874
AGO2,-0.0960682803002344,True,2,-0.0345;-0.1576
MTFMT,-0.09600612119702023,True,2,-0.1741;-0.0179
MARCKS,-0.09598153162018302,True,2,-0.0515;-0.1405
APLF,-0.09597293058411066,True,2,-0.0038;-0.1882
F11R,-0.0959635772803103,True,2,-0.1366;-0.0554
DIAPH3,-0.09596128121703729,True,2,-0.0662;-0.1257
TARBP1,-0.09593817989916831,True,2,-0.0972;-0.0947
RPP25L,-0.0959192246889714,True,2,-0.1454;-0.0464
HIST1H2AI,-0.09579193258829383,True,2,-0.0520;-0.1396
MCRS1,-0.09576377637290179,True,2,-0.1723;-0.0192
EXT2,-0.09575667518106973,True,2,-0.1427;-0.0488
TNFSF12-TNFSF13,-0.09574083378429121,False,2,-0.3185;0.1270
HMOX2,-0.09569675113591625,True,2,-0.0975;-0.0939
NOP16,-0.09568599366122787,False,2,-0.2232;0.0319
NEK4,-0.09567711155942904,True,2,-0.1364;-0.0550
CCDC171,-0.09562406725215267,True,2,-0.1558;-0.0354
CFAP70,-0.0955877266510603,True,2,-0.1341;-0.0571
SLFN5,-0.09551373660326135,False,2,0.0283;-0.2193
RTKN2,-0.09551125489479345,False,2,0.0450;-0.2360
TIMM10B,-0.09549885584362255,False,2,0.0407;-0.2317
ARF3,-0.09546399111282156,True,2,-0.1776;-0.0133
TOR2A,-0.09545314010943129,True,2,-0.0958;-0.0951
MRPL43,-0.09545288232984273,False,2,-0.2106;0.0197
NOBOX,-0.09544639164922397,True,2,-0.1061;-0.0848
UNC93B1,-0.09538980437584849,True,2,-0.0203;-0.1704
GBA2,-0.09537714017990406,False,2,-0.2069;0.0162
XBP1,-0.09534783171170141,True,2,-0.1507;-0.0400
PLEKHG2,-0.09527523529747206,True,2,-0.0048;-0.1858
GATD1,-0.09527192535854823,True,2,-0.0408;-0.1497
ATP5IF1,-0.09522911639592385,False,2,0.0032;-0.1936
PMCH,-0.09520960391760525,True,2,-0.1156;-0.0748
RCHY1,-0.09518813855990438,False,2,-0.2551;0.0647
ADAMTS6,-0.09513652701712028,False,2,-0.2340;0.0437
NUB1,-0.09509646169616726,True,2,-0.0500;-0.1402
ZC3H10,-0.09509309989402731,True,2,-0.0743;-0.1159
RGS6,-0.09508746504124188,True,2,-0.1175;-0.0727
AIG1,-0.09508204991558833,False,2,-0.1913;0.0011
CIP2A,-0.09506975656399969,True,2,-0.0285;-0.1617
BBS1,-0.0950137885613751,True,2,-0.0120;-0.1780
HIST1H2BF,-0.09497822132553868,False,2,-0.1937;0.0038
STRADA,-0.09497373874482201,True,2,-0.0057;-0.1843
BET1L,-0.09496617344058267,True,2,-0.1731;-0.0168
PEX5,-0.09490721646164035,True,2,-0.1101;-0.0798
GPR183,-0.09490492076333701,True,2,-0.1118;-0.0780
ATAD3A,-0.09489828308983961,True,2,-0.0791;-0.1107
ZNF45,-0.09489324077949302,False,2,-0.2804;0.0906
AP5Z1,-0.09487192019566543,True,2,-0.0946;-0.0951
CLIP2,-0.09486767865922657,False,2,0.0056;-0.1953
UQCRB,-0.09481332376182805,True,2,-0.1639;-0.0258
SLC48A1,-0.09477278783294285,True,2,-0.1404;-0.0492
ZNF770,-0.0947353817320144,True,2,-0.1208;-0.0687
ADAL,-0.09471468187511778,False,2,-0.2038;0.0143
TFIP11,-0.0946779252008148,False,2,0.0253;-0.2147
NOS1,-0.09464038762515592,True,2,-0.1449;-0.0444
TEX2,-0.09463992567384916,True,2,-0.0204;-0.1688
ATF6B,-0.09463087504183798,True,2,-0.0630;-0.1263
CEP250,-0.09462192503556877,True,2,-0.0419;-0.1473
PKN2,-0.0946074833176046,True,2,-0.1408;-0.0484
NAA35,-0.09457181278146587,True,2,-0.0126;-0.1766
KATNB1,-0.09454686290910896,True,2,-0.0997;-0.0893
GAL3ST4,-0.09450098930207185,True,2,-0.1017;-0.0873
SOX7,-0.09448892398503217,True,2,-0.0969;-0.0920
CHD3,-0.0943820280553418,True,2,-0.0186;-0.1702
GLB1L,-0.09437241357736803,True,2,-0.1544;-0.0344
ZNF35,-0.0943368988190606,True,2,-0.1879;-0.0008
SLU7,-0.09431184558945327,True,1,-0.0943
CLCN5,-0.09430456814192334,True,2,-0.0055;-0.1831
REXO5,-0.09425222919311044,True,2,-0.0569;-0.1316
FAM219A,-0.09424928526621085,True,2,-0.0714;-0.1171
SLC26A11,-0.09413506000442551,True,2,-0.0379;-0.1504
RAB3A,-0.09412697179434493,True,2,-0.1446;-0.0436
TRIM32,-0.09411848599753281,False,2,-0.2227;0.0344
NDUFS5,-0.09411805810138052,True,2,-0.1141;-0.0741
HIST1H4I,-0.09408749180906567,True,2,-0.0709;-0.1173
RPS19BP1,-0.09405540010329849,True,1,-0.0941
LRRC37A,-0.09405011161079307,False,2,0.0378;-0.2259
ARSG,-0.09403411575637755,True,2,-0.0325;-0.1556
SKI,-0.09402712270918812,True,2,-0.0813;-0.1067
BCORL1,-0.09402143115088663,True,2,-0.0582;-0.1299
THUMPD1,-0.09401943463994256,False,2,-0.2906;0.1025
SH2B1,-0.09401013372684763,True,2,-0.1637;-0.0243
ASB1,-0.09396861529138922,True,2,-0.0108;-0.1771
GTPBP2,-0.09395445508300271,True,2,-0.0110;-0.1769
RBM23,-0.09393037928926529,False,2,-0.2696;0.0817
TMED3,-0.09390116682258609,True,2,-0.1768;-0.0110
CAMSAP2,-0.09389047974265174,True,2,-0.0672;-0.1206
UTP25,-0.09386942949151389,True,2,-0.1347;-0.0530
APOO,-0.09386829959177734,True,2,-0.0140;-0.1738
TNFRSF12A,-0.09383963040945964,False,2,-0.2986;0.1109
MNT,-0.09376882806631581,False,2,0.0076;-0.1951
SGK494,-0.09374693503752962,True,2,-0.0981;-0.0894
LRSAM1,-0.09373837886875014,False,2,-0.2643;0.0768
HELZ2,-0.09372293662517883,True,2,-0.0666;-0.1209
ZHX1,-0.09369222531542315,True,2,-0.0610;-0.1263
SLC25A44,-0.09366062110019907,True,2,-0.0809;-0.1064
CAPZA2,-0.09363011724607251,True,2,-0.0563;-0.1309
FRS2,-0.09361928924568647,False,2,0.0235;-0.2107
TMPPE,-0.09361441064063986,True,2,-0.1302;-0.0570
C1QB,-0.09358482708334492,True,2,-0.0744;-0.1128
ADGRV1,-0.09357316524377379,True,2,-0.1489;-0.0382
CRLF2,-0.09357143321281619,True,2,-0.0818;-0.1053
MAP3K14,-0.09349594436167363,True,2,-0.0761;-0.1109
KDM5D,-0.09347354090134641,False,2,-0.2482;0.0613
RABL2B,-0.09343930076943663,False,2,0.0260;-0.2128
NOTCH2NLA,-0.09339078579894955,True,2,-0.0921;-0.0947
ARL6IP6,-0.09338457910301606,True,2,-0.1125;-0.0743
TSEN15,-0.09336338457361748,False,2,-0.2330;0.0463
DEFA3,-0.09333225327408917,True,2,-0.0710;-0.1157
SLC3A1,-0.09328627503500508,True,2,-0.1368;-0.0497
SERF1B,-0.09328155167642144,False,2,0.0581;-0.2446
MUC5AC,-0.09328084233894518,True,2,-0.0924;-0.0941
PATL1,-0.09327039634809231,True,2,-0.1182;-0.0683
ZNF761,-0.09325790979758541,True,2,-0.1328;-0.0537
NR1I3,-0.09320141404400445,True,2,-0.0311;-0.1553
EMC10,-0.09319438555446474,False,2,0.0365;-0.2229
ZNF333,-0.0930870864032669,True,2,-0.0938;-0.0923
TACC1,-0.09304165498503203,True,2,-0.1364;-0.0497
PPCDC,-0.09298709863265786,False,2,-0.2194;0.0334
JRKL,-0.09298004316939318,True,2,-0.0179;-0.1681
CERK,-0.09293404280802209,False,2,-0.2772;0.0913
LYRM7,-0.0929321013505251,True,2,-0.0418;-0.1441
COL22A1,-0.0929125478685,True,2,-0.1726;-0.0132
LYRM2,-0.09289621110502888,True,2,-0.0981;-0.0876
DDHD2,-0.09288566097805534,True,2,-0.1161;-0.0696
SPRY2,-0.09286888261674203,False,2,0.0089;-0.1946
KLHL20,-0.09285604386576041,True,2,-0.0757;-0.1100
SLC39A11,-0.09282815323107474,True,2,-0.1398;-0.0458
NUDT8,-0.09281686568589276,True,2,-0.1547;-0.0309
TCEAL1,-0.09279814973335332,False,2,-0.3951;0.2095
ALX1,-0.09279552528151841,True,2,-0.0576;-0.1280
RORA,-0.09278509211451463,True,2,-0.1033;-0.0823
ATXN7L3B,-0.0927693950438035,True,2,-0.0869;-0.0986
CCDC159,-0.09274680278621644,True,2,-0.0802;-0.1053
CD4,-0.09272239594770659,True,2,-0.0608;-0.1247
PAX7,-0.09266101221538159,True,2,-0.1828;-0.0025
KIAA0586,-0.09256357194728942,True,2,-0.0294;-0.1557
WBP1L,-0.09254759391992667,True,2,-0.0643;-0.1208
PPP2R2A,-0.09252523688314385,False,2,-0.2104;0.0254
H1FX,-0.09251787938323969,True,2,-0.0282;-0.1568
LZTS2,-0.09251000120608999,True,2,-0.1264;-0.0586
CD33,-0.09250890871026995,False,2,0.0048;-0.1899
TMEM185B,-0.09246796414358716,False,2,0.0094;-0.1944
C1orf52,-0.09246072473321598,True,2,-0.1513;-0.0336
TBX1,-0.09243218937196446,True,2,-0.0836;-0.1013
RPTOR,-0.09240423450122326,True,2,-0.1221;-0.0627
NLRP6,-0.09236929029575253,True,2,-0.0240;-0.1608
RILP,-0.09236916412055418,True,2,-0.0487;-0.1360
NR5A2,-0.09235178556487644,False,2,-0.2464;0.0617
SCYL1,-0.09232935390011238,True,2,-0.0481;-0.1366
OTOG,-0.0922839303997649,True,2,-0.1120;-0.0726
TMEM60,-0.09227616941772149,True,2,-0.1211;-0.0634
PKP2,-0.09222830367562218,True,2,-0.0652;-0.1193
HIST3H2A,-0.09221833943978353,True,2,-0.0086;-0.1758
ARGLU1,-0.09216880647758241,True,2,-0.1555;-0.0289
RIF1,-0.09211537004889014,True,2,-0.1636;-0.0207
MYL12B,-0.09210457372024794,True,2,-0.1810;-0.0032
TERB1,-0.09207930014265303,True,2,-0.1170;-0.0671
P3H4,-0.09205213786433258,True,2,-0.0907;-0.0934
DAP,-0.09205106142532749,False,2,-0.3585;0.1744
STMN3,-0.09204205421542205,True,2,-0.1198;-0.0643
DTWD1,-0.09203749343080425,False,2,-0.2543;0.0703
SREBF1,-0.09201124814476258,True,2,-0.1760;-0.0080
TAF11,-0.09200280863256527,True,2,-0.0602;-0.1238
RMDN3,-0.09190640383362758,True,2,-0.1602;-0.0236
IL3,-0.09186586847829648,True,2,-0.0011;-0.1826
SHROOM1,-0.09185685551369716,True,2,-0.1354;-0.0483
IMMP1L,-0.0917148832742889,False,2,0.0285;-0.2119
MUSTN1,-0.09169434760753331,True,2,-0.0513;-0.1321
GSTK1,-0.09168895182608505,False,2,-0.1917;0.0083
FAM169A,-0.09162443609159254,False,2,0.0135;-0.1968
TUBG2,-0.09161556446850044,True,2,-0.0521;-0.1312
FAM206A,-0.09158141945524856,True,2,-0.0633;-0.1199
FOXD2,-0.09156533070408251,True,2,-0.1243;-0.0588
KCTD3,-0.09154738445515292,False,2,0.0461;-0.2292
CHTF18,-0.09154450752768051,False,2,-0.3257;0.1427
UBOX5,-0.09149862549609611,False,2,-0.2453;0.0623
COL5A1,-0.0914919122349992,False,2,-0.2593;0.0763
APOBEC3G,-0.09147734062756574,False,2,-0.3065;0.1235
PRMT6,-0.09145389971096957,True,2,-0.0813;-0.1016
LCP1,-0.09145025840546733,False,2,0.0195;-0.2024
NKX1-2,-0.09140488576191008,False,2,-0.2159;0.0331
TTBK2,-0.09139689030115195,True,2,-0.0302;-0.1526
SLC9A7,-0.09138384635219171,True,2,-0.0489;-0.1339
PRTFDC1,-0.09136912660371588,True,2,-0.0649;-0.1178
POR,-0.09136881949592784,False,2,0.0381;-0.2209
GPKOW,-0.09136151107059803,True,2,-0.0242;-0.1585
GDF15,-0.09135935132610262,True,2,-0.0016;-0.1811
C12orf60,-0.09133806138321865,True,1,-0.0913
SGPP1,-0.0913302295630688,True,2,-0.0520;-0.1307
C18orf21,-0.09127353865976695,False,2,-0.2675;0.0850
TGFB1,-0.09125599035048743,True,2,-0.0937;-0.0888
TUBGCP6,-0.09123815043810174,False,2,0.0117;-0.1942
MLLT1,-0.09122218530102172,True,2,-0.0801;-0.1024
DCP1B,-0.09120991112709431,True,2,-0.0417;-0.1408
EPB42,-0.09119735361300946,True,2,-0.0238;-0.1586
SUGP1,-0.09118515201561406,False,2,-0.1941;0.0117
MATR3,-0.09117392627722531,False,2,-0.2096;0.0273
DENND4B,-0.09113257818303006,True,2,-0.1506;-0.0317
IBTK,-0.09109150607754285,True,2,-0.0712;-0.1110
B3GALT6,-0.09109136387426447,True,2,-0.0295;-0.1527
ZNF251,-0.09104075483830792,False,2,0.0154;-0.1975
PIK3CD,-0.09097454146059836,False,2,-0.2194;0.0375
SLC35E3,-0.09096115509470637,True,2,-0.1756;-0.0063
SLC10A1,-0.09092495240488935,True,2,-0.0683;-0.1136
NT5E,-0.09090900814746028,True,2,-0.1769;-0.0049
TMIGD2,-0.09089552677906498,True,2,-0.1651;-0.0167
COX17,-0.09088571162051562,True,2,-0.1517;-0.0300
TXNDC5,-0.09087470503510209,True,2,-0.0334;-0.1484
HLA-DOB,-0.09083033706324067,True,2,-0.0149;-0.1668
HCFC1,-0.09080750238164925,False,2,0.1521;-0.3337
ZRANB3,-0.09077163791836967,True,2,-0.1338;-0.0477
TFAP2B,-0.0907650483497161,True,2,-0.1225;-0.0590
PKIA,-0.0907039921063843,False,2,0.0049;-0.1863
KIAA1328,-0.09059648080907434,True,2,-0.1659;-0.0153
NSMAF,-0.0905950382296235,True,2,-0.0974;-0.0837
ZNF563,-0.0905892636975591,True,2,-0.0518;-0.1294
GNAS,-0.0905660837499993,False,2,-0.2054;0.0243
SIN3B,-0.09055323002195675,True,2,-0.0273;-0.1538
RFFL,-0.09051576783289694,True,2,-0.0058;-0.1753
ZBED6,-0.09048132400475117,False,2,-0.2090;0.0281
SESN3,-0.09047669039116218,True,2,-0.1089;-0.0720
KCTD2,-0.09046911244293476,False,2,-0.2097;0.0288
CD52,-0.09046684571836694,True,2,-0.1025;-0.0785
GPC2,-0.09044748297716398,True,2,-0.0398;-0.1411
WDR27,-0.09044568928511543,True,2,-0.0983;-0.0826
PRXL2A,-0.0904389006242502,True,2,-0.0810;-0.0999
SERPING1,-0.090407843714426,True,2,-0.1515;-0.0293
GRAP,-0.0903851895584113,True,2,-0.0690;-0.1118
MAP4K2,-0.09036406769519323,False,2,-0.1925;0.0118
BAZ2A,-0.09032644125542716,True,2,-0.1318;-0.0488
UXT,-0.0903119793411985,False,2,-0.2074;0.0267
CUL5,-0.09029530415729287,True,2,-0.1228;-0.0578
COPS6,-0.09027083056298801,True,1,-0.0903
RTL6,-0.09024020427273988,True,2,-0.1332;-0.0473
PEX7,-0.09022594131601602,True,2,-0.0247;-0.1558
DLEC1,-0.09020886085815544,True,2,-0.1443;-0.0362
CYP2E1,-0.09014166464915008,False,2,-0.2128;0.0325
PDIA4,-0.09013497071861937,True,2,-0.1073;-0.0730
FOXP2,-0.09011604934057732,True,2,-0.0446;-0.1357
ZFAND4,-0.09006481750869366,True,2,-0.0851;-0.0950
CLEC11A,-0.08997513612902458,True,2,-0.0862;-0.0938
LRIG2,-0.0899143164557622,False,2,0.0135;-0.1933
SLC22A17,-0.08990694922866332,True,2,-0.0092;-0.1706
ADPRM,-0.08990618058444483,True,2,-0.1436;-0.0362
HIST1H3B,-0.08989076765679471,True,2,-0.1391;-0.0407
ATP10A,-0.08985712448082994,True,2,-0.1302;-0.0495
PCBD1,-0.08983713820359363,True,2,-0.0641;-0.1155
ABCC1,-0.08978081316019787,True,2,-0.0992;-0.0804
RAD51B,-0.08977274477389091,True,2,-0.0509;-0.1286
SEMA6A,-0.08974958973402869,True,2,-0.0553;-0.1242
AK2,-0.08972928435688932,True,1,-0.0897
VWA7,-0.08966506020847509,True,2,-0.1086;-0.0707
PFKM,-0.08961502308287123,False,2,0.0220;-0.2012
IGFBP5,-0.0896109455483195,False,2,0.1422;-0.3214
ACADS,-0.0895955182083148,True,2,-0.1701;-0.0091
LRIF1,-0.08958383028791106,True,2,-0.1017;-0.0775
FAM118B,-0.08957481189658095,True,2,-0.0831;-0.0961
TMEM39B,-0.08957374769245607,True,2,-0.0363;-0.1428
C8orf33,-0.08957045541542802,True,2,-0.0886;-0.0905
R3HDM1,-0.08956120813027113,True,2,-0.0620;-0.1171
BTBD8,-0.08951658288755732,True,2,-0.0707;-0.1083
NAMPT,-0.08949243528328032,True,2,-0.1297;-0.0493
CLBA1,-0.08946727161098056,True,2,-0.0808;-0.0981
HIST1H2BL,-0.08946232921846364,True,2,-0.0555;-0.1234
MLXIPL,-0.08944897930459239,True,2,-0.0470;-0.1319
DCN,-0.08941771918258684,True,2,-0.1128;-0.0660
ZNF230,-0.08935570547771299,False,2,-0.1895;0.0108
APOA1,-0.08927506727584983,True,2,-0.0651;-0.1135
EOMES,-0.08924074957019129,False,2,0.0566;-0.2351
ATG5,-0.08921477135179079,True,2,-0.1447;-0.0338
PDLIM7,-0.08920732226837441,True,2,-0.0738;-0.1046
MRI1,-0.08918995585360318,True,2,-0.1294;-0.0490
LRRN3,-0.08915024982095981,True,2,-0.1425;-0.0358
YIF1B,-0.08912197712935566,False,2,-0.2005;0.0222
ZNFX1,-0.08909770071768047,True,2,-0.0230;-0.1552
UXS1,-0.08909181384108356,False,2,-0.1946;0.0164
AQP1,-0.08907016016969749,True,2,-0.1733;-0.0048
EPC2,-0.08906401759944538,True,2,-0.1272;-0.0509
IRF3,-0.08901869899342102,True,2,-0.1366;-0.0414
SYNE1,-0.08896908380549517,True,2,-0.1422;-0.0357
DOCK11,-0.08895442459140895,True,2,-0.0217;-0.1562
GPR19,-0.08893878704153535,False,2,-0.2609;0.0831
SMPD3,-0.0888950389865647,False,2,0.0106;-0.1884
GINS2,-0.08888456429453562,True,2,-0.0379;-0.1398
HHEX,-0.08886203161863948,False,2,0.0430;-0.2207
LRRFIP1,-0.08884954809102008,False,2,-0.2063;0.0286
DDX31,-0.08881592368668512,False,2,-0.2220;0.0444
WDR47,-0.0887767201350802,True,2,-0.1019;-0.0756
ST3GAL4,-0.0887748803523169,True,2,-0.1464;-0.0311
KDM8,-0.08876365358158489,True,2,-0.1537;-0.0238
CLN8,-0.0887486487526879,True,2,-0.1331;-0.0444
ZNF253,-0.08866039460165748,True,2,-0.0849;-0.0924
FLI1,-0.08858492016536257,False,2,-0.2763;0.0991
ITGAE,-0.08856644897848542,False,2,-0.2086;0.0314
CS,-0.08848174194348579,True,2,-0.1400;-0.0370
SERPINB1,-0.0884683001169363,False,2,-0.1804;0.0034
TRIM74,-0.08844817980524405,False,2,0.0539;-0.2308
FOXN3,-0.08842967318703987,False,2,-0.1958;0.0190
PLA2G6,-0.0884163678836501,True,2,-0.1425;-0.0343
ZBTB10,-0.08838204685099138,True,2,-0.0957;-0.0810
POMGNT1,-0.08831016811218678,True,2,-0.0879;-0.0887
PHACTR2,-0.08830298859599484,True,2,-0.0790;-0.0976
DDX49,-0.08830155464498035,True,2,-0.0182;-0.1584
MYO3B,-0.08828801838016304,True,2,-0.0130;-0.1636
MTMR7,-0.08824767637218622,True,2,-0.0265;-0.1499
NR1D2,-0.08813719062655168,False,2,-0.2159;0.0397
PAFAH1B2,-0.08808844584402487,False,2,0.1605;-0.3367
NSD3,-0.08805469007222516,True,2,-0.1029;-0.0732
GPSM1,-0.08805374967474128,True,2,-0.0335;-0.1426
RFX1,-0.08804839815618037,True,2,-0.1506;-0.0254
TRNAU1AP,-0.0880033093180449,False,2,0.0333;-0.2093
ASCL4,-0.08799868764277063,False,2,-0.2448;0.0688
FBXO33,-0.08799688331899702,True,2,-0.0928;-0.0832
PCP2,-0.08796713089709707,True,2,-0.1589;-0.0170
AGPAT3,-0.08795759730004504,True,2,-0.1200;-0.0559
TMEM131L,-0.08785862873823913,False,2,-0.2092;0.0335
ENO1,-0.08782691364109363,False,2,0.0733;-0.2490
NT5DC3,-0.0877798414106602,True,2,-0.0033;-0.1723
DLG5,-0.08777372407094686,True,1,-0.0878
LETM1,-0.0877455795324164,False,2,0.1279;-0.3034
PHF8,-0.08770510226601841,True,2,-0.0873;-0.0881
FAS,-0.08768075481895127,True,2,-0.1004;-0.0749
GPRC5B,-0.08767400569196687,True,2,-0.0066;-0.1688
KANSL1L,-0.08764068746262976,True,2,-0.1726;-0.0027
ZNF575,-0.08761902533158339,True,2,-0.1513;-0.0240
GRIN2B,-0.08761871764584289,True,2,-0.0486;-0.1267
MBOAT1,-0.08761365775472546,True,2,-0.0029;-0.1723
TAF9,-0.08761215743583717,True,2,-0.0044;-0.1708
ESRRA,-0.08758649197533658,True,2,-0.0516;-0.1235
PTPA,-0.08757963282784753,False,2,-0.2419;0.0668
GPR132,-0.08757862797346999,True,2,-0.0629;-0.1123
SUN2,-0.08752609820231838,True,2,-0.0737;-0.1014
HIVEP3,-0.08751661882202377,True,2,-0.0802;-0.0948
ZC3H15,-0.08750163971914143,False,2,0.0151;-0.1901
SRRM1,-0.08750054374033839,False,2,0.0075;-0.1825
ANK1,-0.08749954219932166,True,2,-0.1587;-0.0163
OS9,-0.08747699519503666,True,2,-0.0508;-0.1241
DCAF15,-0.08747602530140158,True,2,-0.0548;-0.1201
THAP9,-0.0874749522107014,True,2,-0.0208;-0.1541
WASHC3,-0.08741098433486172,True,2,-0.1016;-0.0732
SENP1,-0.08737099797270009,True,2,-0.0525;-0.1222
CACNB3,-0.08735462505444791,True,2,-0.1361;-0.0387
ZNF254,-0.08733568506541178,True,2,-0.1418;-0.0328
MXD4,-0.08730002833863754,True,2,-0.1280;-0.0466
CNIH1,-0.0872338643837633,True,2,-0.1385;-0.0360
CEBPG,-0.08722005373444708,True,1,-0.0872
BRAT1,-0.08720780487182384,True,2,-0.0694;-0.1050
ERCC4,-0.08716191512117988,False,2,-0.2369;0.0626
EIF1,-0.08713254855669605,False,2,-0.2138;0.0396
GALT,-0.08713094270796379,True,2,-0.0667;-0.1075
BSDC1,-0.08707756425162527,True,2,-0.0572;-0.1170
OGFR,-0.08705092670285935,True,2,-0.0656;-0.1085
ZNF264,-0.08704928361305825,True,2,-0.0905;-0.0836
STXBP1,-0.08704365854566076,True,2,-0.0880;-0.0861
NIPAL4,-0.08703178452479388,True,2,-0.0940;-0.0801
GDF11,-0.08702421536886001,True,2,-0.1069;-0.0672
TSSC4,-0.08696210176514485,True,2,-0.1551;-0.0188
PECAM1,-0.08692948127962524,False,2,0.0459;-0.2198
POLDIP2,-0.08690448278452423,True,2,-0.0272;-0.1466
UCKL1,-0.0868858245166973,True,2,-0.0753;-0.0985
ZNF26,-0.08687349625476998,True,2,-0.1166;-0.0571
SCCPDH,-0.08685912797524376,False,2,0.0605;-0.2342
AIFM1,-0.08683473764068406,False,2,-0.2134;0.0397
RCC1L,-0.08682531805985705,False,2,-0.1740;0.0003
UNG,-0.08681696470215039,True,2,-0.1589;-0.0148
DPP8,-0.08676676202246625,True,2,-0.1721;-0.0014
GRIN3A,-0.08674162349890996,True,2,-0.0770;-0.0965
ARHGEF18,-0.08671349950058943,True,2,-0.1404;-0.0330
ORC3,-0.08669743374959815,True,2,-0.0782;-0.0952
FOXF1,-0.08665516434257214,True,2,-0.0712;-0.1021
MAGOHB,-0.08661530726329536,False,2,0.0030;-0.1762
OLA1,-0.08658128522266817,True,2,-0.1173;-0.0558
TTC32,-0.08656964808632106,True,2,-0.1022;-0.0709
SLC45A4,-0.08654274144896479,True,2,-0.0641;-0.1090
FTL,-0.08651567478668692,True,2,-0.0622;-0.1108
PCNT,-0.08651173051031441,True,2,-0.1124;-0.0606
ZBP1,-0.08650987044559671,True,2,-0.0932;-0.0798
PPP1R13B,-0.08649581370802628,True,2,-0.1171;-0.0559
POMK,-0.08648250364342053,False,2,0.0280;-0.2010
