gene,ppr,is_seed,is_gated_hit,e_distance,e_qval,degree,enrichment,n_seed_nbrs,seed_weight_sum,seed_neighbors,is_sig_causal
CALML3,0.0002610646840405,False,False,,,240,0.5154504632477674,5,4.237,PPP3R1(0.95);PLCG1(0.94);ORAI1(0.88);CASK(0.74);GP1BB(0.73),False
H2BC11,0.0002181035737934,False,False,,,208,0.4968776897969994,5,4.014,HPF1(0.94);MED24(0.80);MED19(0.80);HDAC2(0.75);HDAC3(0.72),False
GAPDH,0.0002912237261635,False,False,,,278,0.4964002693519964,7,5.482,PDIA3(0.85);STAT3(0.81);SMAD3(0.79);HMBS(0.78);VIM(0.77);PTEN(0.75),False
HSPA5,0.000168518783858,False,False,,,163,0.4899037479690333,4,3.602,PDIA3(1.00);SYVN1(0.96);TFAM(0.94);TXNRD1(0.70),False
NCBP2,0.0001770694199423,False,False,,,173,0.4850064470165823,4,3.452,PAPOLA(0.92);KPNA1(0.90);POLDIP3(0.82);DENR(0.81),False
NCBP1,0.00019324199834,False,False,,,191,0.479422268761404,4,3.482,POLDIP3(0.94);PAPOLA(0.90);KPNA1(0.82);EIF4B(0.81),False
TBP,0.0002347556504167,False,False,,,241,0.4615822095704912,4,3.3520000000000003,MED24(0.90);MED19(0.86);HMBS(0.79);TAF6L(0.79),False
EIF5B,0.0002103723527605,False,False,,,216,0.4615140883292176,4,3.4139999999999997,ARNT(0.96);EIF4B(0.84);PNPT1(0.83);APMAP(0.78),False
RHOA,0.0002709300594377,False,False,,,279,0.4601538278321662,5,4.063,VAV1(0.99);WAS(0.83);PLCG1(0.78);SYK(0.74);PTEN(0.73),False
MDM2,0.0001769745609738,False,False,,,192,0.4367769034535854,6,5.107,NUMB(1.00);CREBBP(0.91);PTEN(0.90);UBE2I(0.86);UBE2L3(0.72);STAT3(0.71),False
H3-4,0.0002784694850638,False,False,,,314,0.4202406057080645,8,6.799,CREBBP(0.99);SGF29(0.98);KDM1A(0.94);HDAC2(0.91);MEN1(0.80);HDAC3(0.79),False
BCL2L1,0.0001138500988018,False,False,0.4460849747474782,0.0914451012263567,139,0.3881223584046366,4,3.282,STAT3(0.95);ELOB(0.89);STAT6(0.72);DENR(0.72),False
H2AX,0.0001398748316312,False,False,,,172,0.3853551611441658,4,3.266,RAD50(0.93);HDAC2(0.89);HDAC3(0.73);UBE2I(0.71),False
H2AZ1,0.0001856719921175,False,False,,,230,0.3825327399339734,7,5.749,HDAC2(0.92);BRD8(0.90);HDAC3(0.84);MED24(0.81);MED19(0.80);CREBBP(0.77),False
POLR2A,0.0002002818303369,False,False,,,250,0.3796221924938316,6,5.149,INTS6(1.00);MED19(0.97);MED24(0.88);CREBBP(0.78);CCNC(0.78);LIG3(0.75),False
RAD51,0.0001921589565711,False,False,,,246,0.3701481429300913,4,3.484,UBE2I(0.95);ATAD5(0.91);RAD50(0.86);PTEN(0.76),False
POLR2C,0.0002401167231105,False,False,,,308,0.3694211377050753,5,4.2989999999999995,INTS6(1.00);MED19(0.95);MED24(0.86);PNPT1(0.74);APMAP(0.74),False
FN1,0.0002064906392964,False,False,,,299,0.3272496800569577,6,5.076,VWF(1.00);STAT3(0.99);PTPRC(0.84);VIM(0.81);SMAD3(0.73);SYK(0.71),False
EIF4A3,0.0001419244052944,False,False,,,206,0.3264674693825784,4,3.371,POLDIP3(0.98);EIF4B(0.88);EIF4G2(0.78);PNPT1(0.73),False
H2AC20,0.000141550146319,False,False,,,207,0.3240335861580852,4,3.259,HDAC2(0.91);HDAC3(0.83);KDM1A(0.82);BRD8(0.71),False
H2AC18,0.0001360509775227,False,False,,,199,0.3239654080851069,4,3.228,HDAC2(0.87);HDAC3(0.83);KDM1A(0.82);BRD8(0.71),False
H2BC21,0.0001427245364382,False,False,,,233,0.2902637289126442,4,3.3369999999999997,HDAC2(0.92);HDAC3(0.82);KDM1A(0.82);CREBBP(0.78),False
PRMT5,5.3695887827310246e-05,False,False,,,89,0.2858913865825756,4,2.953,HDAC3(0.76);HDAC2(0.76);KDM1A(0.73);STAT3(0.71),False
H3-2,0.0001433136768866,False,False,,,244,0.2783222087275658,5,4.508,SGF29(0.97);CREBBP(0.96);KDM1A(0.92);HDAC2(0.88);HDAC3(0.79),False
H3-5,0.0001436498754526,False,False,,,253,0.2690511066481549,5,4.509,SGF29(0.97);CREBBP(0.96);KDM1A(0.92);HDAC2(0.88);HDAC3(0.79),False
H3C14,0.0001344651596021,False,False,,,244,0.2611379529879952,5,4.141,SGF29(0.92);CREBBP(0.91);MED24(0.80);MED19(0.80);KDM1A(0.71),False
H3C15,0.0001268445167157,False,False,,,241,0.2494047414561963,4,3.4320000000000004,SGF29(0.92);CREBBP(0.91);MED24(0.80);MED19(0.80),False
